ward_no,ward_name,ward_label,population,area_sqkm,density_per_sqkm
179,Shakambari Nagar,179-Shakambari Nagar,25871,1.8519488984375,13969.607920514174
180,Banashankari Temple ward,180-Banashankari Temple ward,42171,0.6829050234375,61752.36460807719
181,Kumaraswamy Layout,181-Kumaraswamy Layout,47182,1.86895483984375,25245.12577518703
182,Padmanabha Nagar,182-Padmanabha Nagar,41037,1.69023994140625,24278.801485342927
183,Chikkalsandra,183-Chikkalsandra,43364,1.08898601953125,39820.52957729051
184,Uttarahalli,184-Uttarahalli,57209,9.994083611417105,5724.286710453895
185,Yelchenahalli,185-Yelchenahalli,46943,1.582723734375,29659.629776473445
186,Jaraganahalli,186-Jaraganahalli,38294,1.2834910734134228,29835.813269941766
187,Puttenahalli,187-Puttenahalli,49207,2.867783029118671,17158.55052504524
188,Bilekhalli,188-Bilekhalli,49884,4.234631549584528,11780.009527604418
189,Hongasandra,189-Hongasandra,68554,2.1385952352348934,32055.621779438945
190,Mangammanapalya,190-Mangammanapalya,65890,3.457511282909227,19057.060008943394
191,Singasandra,191-Singasandra,71004,9.79279190068071,7250.639114986649
192,Begur,192-Begur,80037,19.07361290596628,4196.2160181495665
193,Arakere,193-Arakere,58355,6.6135820488700485,8823.508889554056
194,Gottigere,194-Gottigere,51911,7.32530866656631,7086.527320948093
195,Konankunte,195-Konankunte,57335,3.42113178905,16759.073761353437
196,Anjanapura,196-Anjanapura,45608,11.397497387867,4001.5802108058538
197,Vasanthpura,197-Vasanthpura,62057,5.7059670942625,10875.807549328481
198,Hemmigepura,198-Hemmigepura,50440,29.63551673111435,1702.0118278228977
