name,reason
"Hukkeri Taluk Hospital, (FRU)",outside Bengaluru
"Chikodi Taluk Hospital, (FRU)",outside Bengaluru
"Bailhongal Taluk Hospital, (FRU)",outside Bengaluru
"Saundatti Taluk Hospital, (FRU)",outside Bengaluru
"Ramdurg Taluk Hospital, (FRU)",outside Bengaluru
"Raibag Taluk Hospital, (FRU)",outside Bengaluru
"Khanapur Taluk Hospital, (FRU)",outside Bengaluru
"Gokak Taluk Hospital, (FRU)",outside Bengaluru
"Athani Taluk Hospital, (FRU)",outside Bengaluru
"Gundlupet Taluka Hospital, (FRU)",outside Bengaluru
"Kolegala Taluka Hospital, (FRU)",outside Bengaluru
"Yelandur Taluka Hospital, (FRU)",outside Bengaluru
"Channagiri Taluk Hospital, (FRU)",outside Bengaluru
"Harpanahalli Taluk Hospital, (FRU)",outside Bengaluru
"Harihara Taluk Hospital, (FRU)",outside Bengaluru
"Honnal Taluk Hospital, (FRU)",outside Bengaluru
"Jaglur Taluk Hospital, (FRU)",outside Bengaluru
"Navalgund Taluk Hospital, (FRU)",outside Bengaluru
Kundgol Taluk Hospital,outside Bengaluru
"Kalghatagi Taluk Hospital, (FRU)",outside Bengaluru
"Sakaleshpur Taluka Hospital, (FRU)",outside Bengaluru
"Arkalgud Taluka Hospital, (FRU)",outside Bengaluru
"Belur Taluka Hospital, (FRU)",outside Bengaluru
Alur Taluka Hospital,outside Bengaluru
"Arasikere Taluka Hospital, (FRU)",outside Bengaluru
"Channarayapatna Taluka Hospital, (FRU)",outside Bengaluru
"Holenarasipur Taluka Hospital, (FRU)",outside Bengaluru
"Somvarpet Taluk Hospital, (FRU)",outside Bengaluru
"Virajpet Taluk Hospital, (FRU)",outside Bengaluru
Bangarpet Taluk Hospital,outside Bengaluru
KGF Women And Children TLH,outside Bengaluru
Mulbagal Taluk Hospital,outside Bengaluru
"Malur Taluk Hospital, (FRU)",outside Bengaluru
"Srinivasapura Taluk Hospital, (FRU)",outside Bengaluru
"Gangawathi Taluka Hospital, (FRU)",outside Bengaluru
"Kushtagi Taluka Hospital, (FRU)",outside Bengaluru
"Yelburga Taluka Hospital, (FRU)",outside Bengaluru
