name,reason
"Sukshema Hospital Pvt Ltd, Davanagere",outside Bengaluru
"Shakuntala Memorial Hospital and Research Centre, Hubballi",outside Bengaluru
"Karnataka Institute of Medical Science, Hubballi",outside Bengaluru
"Ashoka Hospital, Hubballi",outside Bengaluru
"HCG NMR Curie of Oncology, Hubballi",outside Bengaluru
"Karnataka Cancer Therapy and Research Institute, Hubballi",outside Bengaluru
"Tatwadarsha Hospital, Hubbali",outside Bengaluru
"Fortis Suchirayu Hospital, Hubballi",outside Bengaluru
"SDM Narayana Hrudayalaya, Dharwad",outside Bengaluru
"Kerudi Healthcare Private Limited, Bagalakote",outside Bengaluru
"Aashraya Hospital, Gadag",outside Bengaluru
"Mahatma Gandhi Multi Specility Hospital, Gadag",outside Bengaluru
"Dr N B Patil Hospital, Gadag",outside Bengaluru
"Vaatsalya Healthcare Solutions Pvt Ltd, Gadag",outside Bengaluru
"K H Patil Hospital and Research Institute, Gadag",outside Bengaluru
"L Y Desai Memorial Sparsh Multispeciality Hospital, Gadag",outside Bengaluru
"Shree Basavalingappa Nisty Memorial Heart Centre, Kalalburagi gi",outside Bengaluru
"Chirayu Hospital, Kalaburagi",outside Bengaluru
"VTSM Peripheral Cancer Center, Kallburgi",outside Bengaluru
"Basaveshwar Teaching and General Hospital, Kalaburagi",outside Bengaluru
"Vijaya Hospital, Belagavi",outside Bengaluru
"Patil Nursing Home, Kalaburagi",outside Bengaluru
"HCG Cancer Centre, Kalaburagi",outside Bengaluru
"United Hospital, Kalaburagi",outside Bengaluru
"Nagesh Hospital, Hassan",outside Bengaluru
"Punya Hospital CRP, Hassan",outside Bengaluru
"NDRK Hospital, Hassan",outside Bengaluru
"Janapriya Hospital, Hassan",outside Bengaluru
"Mangala Hospital, Hassan",outside Bengaluru
"Rajeev Nursing Home, Hassan",outside Bengaluru
"SSM Hospital, Hassan",outside Bengaluru
"Dharwad Institute of Mental Health and Neurosciences, Dharwad",outside Bengaluru
"Belgaum Institute of Medical Sciences, Belagavi",outside Bengaluru
"Jawaharlal Nehru Medical College, Belagavi",outside Bengaluru
"S.Nijalingappa Medical College, Bagalakote",outside Bengaluru
"Al-Ameen Medical College, Vijayapura",outside Bengaluru
"BLDEA's B.M.Patil Medical College, Vijayapura",outside Bengaluru
"Bidar Institute of Medical Sciences, Bidar",outside Bengaluru
"Raichur Institute of Medical Sciences, Raichur",outside Bengaluru
"Navodaya Medical College, Raichur",outside Bengaluru
"Koppal Institute of Medical Sciences, Koppal",outside Bengaluru
"Gadag Institute of Medical Sciences, Gadag",outside Bengaluru
"Karnataka Institute of Medical Sciences, Hubli",outside Bengaluru
"Sri. Dharmasthala Manjunatha Medical College, Dharwad",outside Bengaluru
"Karwar Institute of Medical Sciences , Karwara",outside Bengaluru
"Vijayanagar Institute of Medical Sciences, Ballari",outside Bengaluru
"Sri. Basaveshwara Medical College, Chitradurga",outside Bengaluru
"JJM Medical College, Davanagere",outside Bengaluru
"S.S. Institute of Medical Sciences, Davanagere",outside Bengaluru
"Shivamogga Institute of Medical Sciences, Shivamogga",outside Bengaluru
"Tadikele Subbaiah Institute of Medical Sciences, Shivamogga",outside Bengaluru
"Kasturba Medical College, Udupi",outside Bengaluru
"Sri. Siddhartha Medical College, Tumakuru",outside Bengaluru
"Shri Devi Institute of Medical Sciences, Tumakuru",outside Bengaluru
"Oxford Medical College Hospital & Research Centre, Anekal",outside Bengaluru
"Adichunchanagiri Institute of Medical Sciences, Nagamangala",outside Bengaluru
"Mandya Institute of Medical Sciences, Mandya",outside Bengaluru
"Hassan Institute of Medical Sciences , Hassan",outside Bengaluru
"Yenepoya Medical College, Mangalore",outside Bengaluru
"K.S.Hegde Medical College, Mangalore",outside Bengaluru
"Kanachur Medical Sciences, Mangalore",outside Bengaluru
"Father Muller’s Medical College, Mangalore",outside Bengaluru
"Srinivas Institute of Medical Research Centre, Mangalore",outside Bengaluru
"A.J. Institute of Medical Sciences, Mangalore",outside Bengaluru
"Kasturba Medical College, Mangalore",outside Bengaluru
"K.V.G. Medical College, Sullia., Sulya",outside Bengaluru
"Kodagu Institute of Medical Sciences, Madikeri",outside Bengaluru
"Mysore Medical College & Research Institute, Mysuru",outside Bengaluru
"JSS Medical College, Mysuru",outside Bengaluru
"Chamarajanagar Institute of Medical Sciences, Chamarajanagar",outside Bengaluru
"ESI Medical College, Gulbarga, Kallburgi",outside Bengaluru
"Gulbarga Institute of Medical Sciences , Kallburgi",outside Bengaluru
"Khaja Banda Nawaz Institute of Medical Sciences, Kallburgi",outside Bengaluru
"Mahadevappa Rampure Medical College, Kallburgi",outside Bengaluru
"Sri. Devaraj Urs Medical College, Kolar",outside Bengaluru
"Sambhram Institute of Medical Science, Bangarpete",outside Bengaluru
"Akash Institute of Medical Sciences & Research Centre, Devanahalli",outside Bengaluru
"MVJ Medical College, Hosakote",outside Bengaluru
"Trauma Care Centre, Belgaum Institute of Medical Sciences(BIMS), Belgaum",outside Bengaluru
"Trauma Care Centre, Karnataka Institute of Medical Sciences(KIMS) ,Hubli",outside Bengaluru
"Trauma Care Centre, District Hospital, Haveri",outside Bengaluru
"Trauma Care Centre, District Hospital Chitradurga",outside Bengaluru
"Trauma Care Centre, Chigateri District Hospital, Davanagere",outside Bengaluru
"Trauma Care Centre, Genreral Hospital, Sira",outside Bengaluru
"Trauma Care Centre, District Hospital Tumkur",outside Bengaluru
"Trauma Care Centre, District Hospital, Chikkaballapura",outside Bengaluru
"ENT, Belgaum District Hospital",outside Bengaluru
"ENT, Bagalkote District Hospital FRU",outside Bengaluru
"ENT, Bijapur District Hospital FRU",outside Bengaluru
"ENT, Koppal District Hospital FRU",outside Bengaluru
"ENT, Gadag District Hospital FRU",outside Bengaluru
"ENT, Doddaballapur Taluk Hospital, (FRU)",outside Bengaluru
"ENT, Haveri District Hospital FRU",outside Bengaluru
"ENT, Chitradurga District Hospital FRU",outside Bengaluru
"ENT, Davanagere District Hospital",outside Bengaluru
"ENT, Shimoga District Hospital",outside Bengaluru
"ENT, Udupi District Hospital FRU",outside Bengaluru
"ENT, Chickmagalur District Hospital FRU",outside Bengaluru
"ENT, Chikkaballapur District Hospital FRU",outside Bengaluru
"ENT, Kolar District Hospital FRU",outside Bengaluru
"ENT, Ramanagara District Hospital FRU",outside Bengaluru
"ENT, Hassan District Hospital",outside Bengaluru
"ENT, Kodagu District Hospital FRU",outside Bengaluru
"ENT, KR Hospital Mysore District Hospital",outside Bengaluru
"ENT, Raichur District Hospital",outside Bengaluru
"ENT, Uttara Kannada District Hospital FRU",outside Bengaluru
"ENT, Tumkur District Hospital FRU",outside Bengaluru
"ENT, Wenlock Hospital Mangalore District Hospital",outside Bengaluru
"ENT, Bellary District Hospital FRU",outside Bengaluru
"ENT, Chamarajnagar District Hospital FRU",outside Bengaluru
"ENT, Mandya District Hospital",outside Bengaluru
"ENT, Gulbarga District Hospital FRU",outside Bengaluru
"ENT, Yadgir District Hospital FRU",outside Bengaluru
"ENT, Bidar District Hospital",outside Bengaluru
"ENT, Dharwad District Hospital FRU",outside Bengaluru
"Vydehi Hospital, Bengaluru Urban","same site as 'Vydehi Medical College, Bangalore(East)' (34 m apart)"
"BGS Global Hospital, Bengaluru","same site as 'BGS Global Institute of Medical Sciences, Bangalore (South)' (36 m apart)"
"Rajarajeswari Medical College and Hospital, Bengaluru Urban","same site as 'Sri. Rajarajeshwari Medical College, Bangalore (South)' (66 m apart)"
"Bowring and Lady Curzon Hospitals, Bengaluru",same name as 'Bowring and Lady Curzon' (261 m apart)
"ENT, KC General Hospital",same site as 'KC General Hospital' (0 m apart)
"Trauma Care Centre,Victoria Hospital Campus, Bengaluru",same site as 'Vanivilas Hospital' (0 m apart)
"Victoria Hospital, Bengaluru Urban",same name as 'Victoria Hospital' (432 m apart)
"Trauma Care Centre, Sanjay Gandhi Institue of Trauma and Orthopaedics, Bangalore",same site as 'Jayanagar General Hospital' (0 m apart)
"SDS TRC and Rajiv Gandhi Institute of Chest Diseases, Bangalore",same site as 'Rajiv Gandhi Institute of Chest Diseases' (11 m apart)
"SDS TRC RGICD, Bengaluru Urban",same site as 'Rajiv Gandhi Institute of Chest Diseases' (3 m apart)
"Sri Jayadeva Institute of Cardiovascular Sciences & Research, Bengaluru Urban","same site as 'Sri Jayadeva Institute of Cardio-Vascular Sciences & Research Institute, Bangalore' (51 m apart)"
"Indira Gandhi Institute Of Child Health, Bengaluru Urban","same name as 'Indira Gandhi Institute of Child Health Hospital, Bangalore' (132 m apart)"
"Karnataka Institute of Diabetology , Bangalore","same site as 'Institute of Nephro-Urology, Bangalore' (0 m apart)"
"Institute Of Nephrourology, Bengaluru Urban","same site as 'Institute of Nephro-Urology, Bangalore' (40 m apart)"
"Kidwai Memorial Institute Of Oncology, Bengaluru Urban","same site as 'Kidwai Memorial Institute of Oncology, Bangalore' (102 m apart)"
