ward_no,ward_label,minutes,minutes_direct_only,minutes_800m,minutes_frequent,minutes_general,straight_line_km,easting,northing
192,192-Begur,45.55828620987003,45.55828620987003,45.55828620987003,45.55828620987003,62.35828620987003,8.435812545033734,780821.625,1420271.0
192,192-Begur,64.79091598711858,64.79091598711858,62.81391413750581,,85.39091598711858,8.061614611561367,780321.625,1420521.0
192,192-Begur,,,46.24331860872609,,,8.125697188250182,780571.625,1420521.0
192,192-Begur,56.99239186962241,56.99239186962241,44.805449513238905,,75.19239186962241,8.196906699782186,780821.625,1420521.0
192,192-Begur,55.300655076252596,55.300655076252596,44.73033728448303,67.8685333504813,73.50065507625258,8.27505915959102,781071.625,1420521.0
192,192-Begur,56.8505067741,56.8505067741,46.058185607830325,57.470702379590506,74.07070237959051,8.359959853045256,781321.625,1420521.0
196,196-Anjanapura,,,83.21692442128004,,,7.57826196744021,778071.625,1420771.0
196,196-Anjanapura,,,,,,7.572475097149408,778321.625,1420771.0
196,196-Anjanapura,,,71.13193520689342,,,7.585646208237126,778821.625,1420771.0
196,196-Anjanapura,69.5878587729332,69.5878587729332,69.5878587729332,,90.38785877293319,7.604561331617982,779071.625,1420771.0
194,194-Gottigere,69.6645887199098,69.6645887199098,68.48861185416766,,90.46458871990978,7.6316235295077695,779321.625,1420771.0
194,194-Gottigere,66.73599569875155,66.73599569875155,66.7021664418596,,87.43599569875155,7.666746529391316,779571.625,1420771.0
194,194-Gottigere,63.6380818533647,63.6380818533647,63.6380818533647,,84.2380818533647,7.709820166238053,779821.625,1420771.0
194,194-Gottigere,60.99922408186318,60.99922408186318,60.99922408186318,,81.59922408186318,7.7607120578931506,780071.625,1420771.0
192,192-Begur,62.72393010215222,62.72393010215222,46.92824127615702,,83.32393010215222,7.819269549985171,780321.625,1420771.0
192,192-Begur,44.11942181806971,44.11942181806971,44.11942181806971,44.11942181806971,60.71942181806971,7.885321866932413,780571.625,1420771.0
192,192-Begur,41.89627267267233,41.89627267267233,41.89627267267233,41.89627267267233,58.49627267267233,7.958682403194617,780821.625,1420771.0
192,192-Begur,41.75668128816825,41.75668128816825,41.75668128816825,41.75668128816825,58.356681288168254,8.039151089805243,781071.625,1420771.0
192,192-Begur,43.86277822531744,43.86277822531744,43.86277822531744,43.86277822531744,60.46277822531744,8.126516775009696,781321.625,1420771.0
196,196-Anjanapura,78.89804754345069,78.89804754345069,78.89804754345069,,84.59804754345068,7.342960979559892,777821.625,1421021.0
196,196-Anjanapura,,,80.93645557371092,,,7.328465091486507,778071.625,1421021.0
196,196-Anjanapura,,,83.57337504881421,,,7.322480812329487,778321.625,1421021.0
196,196-Anjanapura,,,,,,7.325029003132388,778571.625,1421021.0
196,196-Anjanapura,,,73.6944465524643,,,7.336100772653539,778821.625,1421021.0
196,196-Anjanapura,,,62.99769617425874,,,7.355657631804584,779071.625,1421021.0
196,196-Anjanapura,,,63.17012446278072,,,7.383632158099575,779321.625,1421021.0
194,194-Gottigere,,,66.960753524345,,,7.419929143591558,779571.625,1421021.0
194,194-Gottigere,64.09023006185147,64.09023006185147,64.09023006185147,,84.69023006185147,7.464427181352668,779821.625,1421021.0
194,194-Gottigere,62.089307107497085,62.089307107497085,62.089307107497085,,82.68930710749709,7.51698063024734,780071.625,1421021.0
194,194-Gottigere,61.89491761796248,61.89491761796248,46.365945543334526,,82.59491761796247,7.5774218864539185,780321.625,1421021.0
192,192-Begur,43.24119562381388,43.24119562381388,43.24119562381388,43.24119562381388,59.84119562381388,7.645563883397224,780571.625,1421021.0
192,192-Begur,40.11735603085039,40.11735603085039,40.11735603085039,40.11735603085039,56.71735603085039,7.721202739528682,780821.625,1421021.0
192,192-Begur,39.81162969838471,39.81162969838471,39.81162969838471,39.81162969838471,56.411629698384715,7.804120475409281,781071.625,1421021.0
192,192-Begur,42.93512238798748,42.93512238798748,42.93512238798748,42.93512238798748,59.53512238798748,7.8940877271854255,781321.625,1421021.0
196,196-Anjanapura,75.38942197558065,75.38942197558065,57.701752033664285,,81.08942197558063,7.117450206887827,777571.625,1421271.0
196,196-Anjanapura,76.58669976282361,76.58669976282361,57.78900280694798,,82.2866997628236,7.093688892059245,777821.625,1421271.0
196,196-Anjanapura,79.53467686826586,79.53467686826586,59.070156379284,,85.23467686826585,7.078682557306967,778071.625,1421271.0
196,196-Anjanapura,,,82.60701218581806,,,7.072486931548129,778321.625,1421271.0
196,196-Anjanapura,,,63.17911831444746,,,7.075125161205012,778571.625,1421271.0
196,196-Anjanapura,,,61.08114941246458,,,7.086587380150859,778821.625,1421271.0
196,196-Anjanapura,,,59.90134393451554,,,7.106830893324435,779071.625,1421271.0
196,196-Anjanapura,,,60.15572453894246,,,7.135780966096686,779321.625,1421271.0
194,194-Gottigere,,,61.71044777308434,,,7.173332185665524,779571.625,1421271.0
194,194-Gottigere,,,65.44295911887444,,,7.219350337509746,779821.625,1421271.0
194,194-Gottigere,62.35088373097562,62.35088373097562,62.35088373097562,,83.05088373097561,7.2736747209027195,780071.625,1421271.0
194,194-Gottigere,59.377929894613914,59.377929894613914,45.123642047441095,,80.0779298946139,7.336120813842725,780321.625,1421271.0
192,192-Begur,42.454993093958656,42.454993093958656,42.454993093958656,42.454993093958656,58.954993093958656,7.4064831900905315,780571.625,1421271.0
192,192-Begur,40.569101597398344,40.569101597398344,40.569101597398344,40.569101597398344,57.069101597398344,7.484538589311352,780821.625,1421271.0
192,192-Begur,40.79556714501226,40.79556714501226,40.79556714501226,40.79556714501226,57.29556714501226,7.570049045064897,781071.625,1421271.0
192,192-Begur,42.90362488764603,42.90362488764603,42.90362488764603,42.90362488764603,59.40362488764603,7.662764983639072,781321.625,1421271.0
192,192-Begur,56.3989787975303,57.648613241661835,45.63601531958171,56.3989787975303,72.9989787975303,7.762428218301428,781571.625,1421271.0
